system,nDCG@10
rerank.mxbai-rerank-l-v2.embeddinggemma,0.846011626092817
rerank.mxbai-rerank-l-v2.openai-3-small,0.8456970362921066
rerank.mxbai-rerank-l-v2.openai-3-large,0.845482412462553
rerank.mxbai-rerank-l-v2.qwen3-emb-8b,0.8423887761744504
rerank.mxbai-rerank-l-v2.bge-large-en,0.84231745900886
rerank.mxbai-rerank-l-v2.qwen3-emb-4b,0.841958398954565
dense.qwen3-emb-8b,0.8415309106769432
rerank.mxbai-rerank-l-v2.me5-large,0.8391882791872434
rerank.mxbai-rerank-l-v2.qwen3-emb-0.6b,0.8386788666701039
rerank.mxbai-rerank-l-v2.modernbert-embed,0.8371823668076493
rerank.mxbai-rerank-l-v2.bge-small-en,0.8365645779674062
rerank.mxbai-rerank-l-v2.nomic-v1.5,0.8359853521127173
rerank.bge-rerank-v2-m3.openai-3-large,0.8352939396083523
rerank.mxbai-rerank-l-v2.mpnet-base,0.8349080748249073
rerank.bge-rerank-v2-m3.mpnet-base,0.8332762077364239
rerank.bge-rerank-v2-m3.embeddinggemma,0.8322371493153313
rerank.bge-rerank-v2-m3.qwen3-emb-4b,0.8305680619048472
rerank.qwen3-rerank-0.6b.embeddinggemma,0.8302649962811832
rerank.mxbai-rerank-l-v2.bge-m3,0.8295947041478443
rerank.bge-rerank-v2-m3.qwen3-emb-8b,0.8294617499162562
rerank.bge-rerank-v2-m3.bge-large-en,0.8288394123113297
rerank.bge-rerank-v2-m3.openai-3-small,0.8278588711287221
rerank.qwen3-rerank-0.6b.openai-3-large,0.8275130660240667
rerank.qwen3-rerank-0.6b.mpnet-base,0.8260632032973416
rerank.bge-rerank-v2-m3.qwen3-emb-0.6b,0.8254460902841348
rerank.qwen3-rerank-0.6b.bge-large-en,0.8252470426123646
dense.qwen3-emb-4b,0.82455179704281
rerank.qwen3-rerank-0.6b.bge-small-en,0.8243680036810939
rerank.mxbai-rerank-l-v2.minilm-l6,0.8241006351223725
rerank.qwen3-rerank-0.6b.qwen3-emb-8b,0.8235189070465103
rerank.bge-rerank-v2-m3.modernbert-embed,0.8232986311782633
rerank.qwen3-rerank-0.6b.qwen3-emb-4b,0.8232491423003186
rerank.bge-rerank-v2-m3.me5-large,0.8231899777651517
rerank.qwen3-rerank-0.6b.openai-3-small,0.8229517314632115
rerank.bge-rerank-v2-m3.bge-small-en,0.8220979788653824
rerank.qwen3-rerank-0.6b.modernbert-embed,0.8213936557816033
rerank.qwen3-rerank-0.6b.me5-large,0.8189917891607092
rerank.bge-rerank-v2-m3.nomic-v1.5,0.8181323918575268
rerank.qwen3-rerank-0.6b.qwen3-emb-0.6b,0.8176436609641264
rerank.bge-rerank-v2-m3.bge-m3,0.8167124076678953
rerank.qwen3-rerank-0.6b.nomic-v1.5,0.8155470697730305
rerank.bge-rerank-v2-m3.minilm-l6,0.8122768810581332
rerank.qwen3-rerank-0.6b.bge-m3,0.8114466264321594
rerank.qwen3-rerank-0.6b.minilm-l6,0.8085698852216152
dense.openai-3-large,0.8073313602496844
dense.bge-large-en,0.7927297782293086
dense.embeddinggemma,0.7926741827034063
dense.qwen3-emb-0.6b,0.7886751088294717
dense.modernbert-embed,0.7718347155706998
dense.openai-3-small,0.768783895566335
dense.me5-large,0.7664704815779573
dense.bge-small-en,0.754867776230451
hybrid.bge-m3+bm25,0.742579998285395
dense.nomic-v1.5,0.7394061141131905
dense.bge-m3,0.7268369481521935
dense.mpnet-base,0.711362322656177
dense.minilm-l6,0.6796898184304502
bm25,0.6039196478533516
